feature,importance
guests_included,0.009737336830312844
amenities,0.010506821056416597
extra_people,0.021749081140576085
host_total_listings_count,0.022430717782088695
host_is_superhost,0.0909030596793097
reviews_per_month,0.10804374562705774
number_of_reviews,0.6826250614833376
