####### Examples of weights, y = 0 ########
(-1.1000000000000008, 'York')
(-1.1000000000000008, 'across')
(-1.0800000000000007, 'Michael')
(-1.0700000000000007, 'area')
(-1.0700000000000007, 'host!')
(-1.0600000000000007, 'Charlotta')
(-1.0600000000000007, 'à')
(-1.0500000000000007, 'Airbnb')
(-1.0500000000000007, 'questions')
(-1.0400000000000007, 'Nathaniel')
(-1.0300000000000007, 'They')
(-1.0300000000000007, 'city')
