host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,accommodates,bathrooms,bedrooms,beds,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating
1 day,100.0,0,2.0,2.0,3,1,3,1.133758653454595,1.0,2.0,14,60,1,10,1,730,71,0,0,strict,0,0,2,0.74,94.0
hours,100.0,0,3.0,3.0,7,1,2,1.0,1.0,2.0,23,82,1,16,4,20,145,0,0,strict,1,0,3,1.41,94.0
< 1 hour ,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,5,85,2,0,2,50,165,1,0,strict,0,0,2,1.62,86.0
< 1 hour ,93.0,0,1.0,1.0,6,1,4,1.0,2.0,2.0,19,140,2,20,3,90,146,1,0,strict,0,0,1,1.48,90.0
hours,100.0,0,4.0,4.0,6,1,1,1.0,1.0,1.0,10,35,1,35,1,28,190,0,0,strict,0,0,4,1.87,95.0
< 1 hour ,100.0,0,2.0,2.0,5,1,2,1.0,1.0,1.0,29,65,1,15,2,75,216,0,0,strict,1,0,2,2.12,86.0
1 day,100.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,12,120,1,0,3,30,5,0,0,strict,0,0,1,0.23,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,2.0,1.0,1.0,8,120,1,20,7,30,24,0,0,moderate,0,0,1,0.26,100.0
hours,100.0,1,4.0,4.0,5,1,2,2.0,1.0,1.0,14,135,1,50,4,365,67,0,0,moderate,0,0,2,0.67,94.0
1 day,70.0,0,1.0,1.0,4,1,5,1.0,2.0,4.0,9,108,4,25,3,1125,211,0,0,strict,0,0,1,2.18,89.0
< 1 hour ,100.0,1,2.0,2.0,7,1,6,2.5,3.0,4.0,42,380,4,60,3,1000,35,0,1,moderate,0,0,1,0.44,99.0
< 1 hour ,100.0,0,1.0,1.0,9,1,2,1.0,1.0,1.0,11,150,2,20,5,60,3,0,0,strict,0,0,1,0.51,100.0
< 1 hour ,90.0,0,1.0,1.0,4,1,4,1.0,1.0,2.0,22,130,2,70,3,25,190,0,0,strict,0,0,1,2.02,98.0
< 1 hour ,100.0,0,6.0,6.0,5,1,3,1.0,2.0,3.0,11,110,3,25,4,365,49,0,0,strict,0,1,1,0.49,86.0
1 day,100.0,0,1.0,1.0,4,1,5,1.0,2.0,2.0,19,115,4,25,3,10,11,0,0,strict,0,0,1,0.11,94.0
< 1 hour ,100.0,0,1.0,1.0,4,1,1,1.0,1.0,1.0,20,110,1,0,1,30,10,0,0,flexible,1,1,1,0.13,88.0
< 1 hour ,90.0,0,7.0,7.0,4,1,4,1.0,1.0,2.0,18,68,1,12,2,365,63,0,0,strict,0,0,7,0.69,84.0
< 1 hour ,93.48038995125609,0,2.312898413128984,2.312898413128984,1,1,2,1.0,1.0,1.0,9,80,1,20,3,1125,113,1,0,strict,0,0,2,1.14,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,2,1.0,1.0,2.0,18,40,1,20,7,10,47,0,0,strict,0,1,1,0.58,94.0
1 day,60.0,0,1.0,1.0,4,1,3,1.5,1.0,1.0,15,50,1,20,1,30,1,0,0,moderate,0,0,1,0.27,60.0
< 1 hour ,100.0,0,1.0,1.0,5,1,2,1.0,0.0,1.0,14,120,2,0,2,16,160,0,0,strict,0,0,1,1.59,93.0
hours,100.0,0,3.0,3.0,4,1,2,1.0,1.0,1.0,25,80,4,0,1,365,94,0,0,strict,0,0,3,1.0,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.133758653454595,1.0,1.0,16,170,1,50,1,12,25,0,0,strict,0,0,1,0.25,88.0
< 1 hour ,100.0,0,4.0,4.0,5,1,2,1.0,2.0,2.0,23,174,2,10,3,60,56,1,0,moderate,0,0,1,0.56,95.0
hours,100.0,1,1.0,1.0,5,1,4,1.0,1.0,2.0,23,144,2,5,2,1125,113,0,1,strict,0,0,1,1.13,95.0
< 1 hour ,86.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,20,200,2,40,7,30,10,1,0,strict,0,0,1,0.14,91.0
1 day,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,25,140,2,0,3,45,87,1,1,strict,1,1,1,0.87,97.0
1 day,60.0,0,2.0,2.0,4,1,2,1.133758653454595,1.0,1.0,5,60,1,30,60,730,58,0,0,strict,0,0,2,0.6,91.0
< 1 hour ,100.0,0,2.0,2.0,2,1,3,1.0,1.0,1.0,26,85,1,75,3,1125,5,0,0,strict,0,0,2,0.75,100.0
hours,97.0,0,7.0,7.0,5,1,2,2.0,1.0,1.0,30,145,2,0,4,178,6,0,0,strict,1,1,2,0.08,100.0
hours,97.0,0,7.0,7.0,5,1,2,2.0,1.0,1.0,18,135,2,0,4,28,7,0,0,strict,1,1,2,0.09,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.0,1.0,1.0,9,100,1,20,5,15,15,0,0,strict,0,0,1,0.15,98.0
hours,91.0,0,2.0,2.0,5,1,1,0.5,1.0,1.0,16,69,1,0,2,29,226,0,0,strict,1,0,2,2.27,94.0
< 1 hour ,93.48038995125609,0,7.0,7.0,2,1,4,1.0,2.0,3.0,7,185,1,0,2,29,9,0,0,strict,0,0,7,0.1,88.0
hours,100.0,0,3.0,3.0,10,1,2,1.5,1.0,1.0,18,49,1,10,3,60,119,1,0,moderate,0,0,3,1.19,85.0
hours,100.0,0,1.0,1.0,4,1,1,1.0,1.0,1.0,9,80,1,0,2,30,27,0,0,strict,0,0,1,0.28,97.0
< 1 hour ,93.48038995125609,0,7.0,7.0,2,1,2,1.0,1.0,2.0,6,69,1,0,2,29,5,0,0,strict,0,0,7,0.06,90.0
< 1 hour ,93.48038995125609,0,7.0,7.0,2,1,2,0.0,1.0,1.0,5,59,1,0,2,27,24,0,0,strict,0,0,7,0.24,81.0
< 1 hour ,93.48038995125609,0,7.0,7.0,2,1,2,1.133758653454595,1.0,1.0,13,59,1,0,2,25,14,1,0,strict,0,0,7,0.14,73.0
