host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,accommodates,bathrooms,bedrooms,beds,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,4,800,1,0,15,1125,1,0,0,flexible,0,0,1,0.03,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,6,1.0,2.0,2.0,26,170,3,35,10,60,11,0,0,moderate,0,0,1,0.41,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,19,45,1,0,30,1125,1,0,0,strict,1,0,1,0.06,100.0
hours,100.0,1,47.0,47.0,4,1,2,1.0,1.0,1.0,10,48,1,7,30,1125,1,0,0,strict,0,0,35,0.06,60.0
hours,100.0,1,47.0,47.0,4,1,2,1.0,1.0,1.0,10,43,1,7,30,1125,1,0,0,strict,0,0,35,0.04,100.0
< 1 hour ,100.0,0,0.0,0.0,5,1,6,1.0,2.0,3.0,28,250,4,30,5,70,10,1,0,strict,0,0,1,0.33,96.0
hours,83.0,0,7.0,7.0,4,1,1,1.0,1.0,1.0,1,80,1,0,15,1125,1,0,0,flexible,0,0,7,0.06,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,1,1.0,1.0,1.0,5,50,1,200,7,28,3,0,0,flexible,0,0,1,0.1,100.0
1 day,80.0,0,1.0,1.0,4,1,4,1.0,1.0,1.0,20,200,1,0,1,1125,13,0,0,strict,0,0,1,0.39,86.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.0,1.0,1.0,17,60,1,25,5,28,5,0,0,strict,0,0,1,0.16,100.0
< 1 hour ,100.0,0,2.0,2.0,3,1,4,1.0,0.0,2.0,15,75,2,10,2,1125,115,1,0,moderate,0,0,2,3.61,93.0
< 1 hour ,93.48038995125609,0,2.0,2.0,4,1,1,1.0,1.0,1.0,9,550,1,0,1,5,3,1,0,strict,0,0,2,0.09,73.0
< 1 hour ,100.0,0,2.0,2.0,7,1,2,1.0,1.0,1.0,23,80,1,0,2,18,4,0,0,moderate,0,0,2,0.81,95.0
< 1 hour ,100.0,0,2.0,2.0,7,1,3,1.0,2.0,2.0,14,115,2,30,2,15,2,0,0,moderate,0,0,2,0.53,90.0
< 1 hour ,100.0,0,1.0,1.0,4,1,2,2.0,1.0,1.0,17,79,2,20,2,1125,49,1,0,moderate,0,0,1,1.81,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,1.0,8,200,1,100,1,1125,4,0,0,strict,0,0,1,0.13,100.0
< 1 hour ,100.0,1,3.0,3.0,4,1,6,1.0,3.0,3.0,22,195,2,15,7,1125,22,0,1,strict,0,0,3,0.68,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,1.0,2.0,6,109,2,10,3,1125,1,0,0,flexible,0,0,1,0.03,80.0
< 1 hour ,80.0,0,1.0,1.0,4,1,1,1.0,1.0,1.0,8,25,1,0,2,6,1,1,0,flexible,0,0,1,0.45,100.0
hours,89.0,1,4.0,4.0,6,1,2,1.0,1.0,1.0,26,95,1,15,5,1125,51,0,0,strict,0,0,4,1.57,98.0
1 day,100.0,1,3.0,3.0,4,1,6,2.0,3.0,3.0,49,280,6,25,5,1125,3,0,1,strict,0,0,3,0.09,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,1.0,1.0,13,98,1,0,3,1125,8,1,0,moderate,0,0,1,0.38,88.0
< 1 hour ,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,34,52,1,10,1,150,45,1,0,flexible,0,0,2,1.37,91.0
< 1 hour ,100.0,0,2.0,2.0,5,1,1,1.0,1.0,1.0,1,95,1,40,1,1125,16,1,0,flexible,0,0,2,0.81,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,1.0,14,200,1,0,5,1125,1,0,0,moderate,0,0,1,0.03,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,1.0,14,120,1,0,1,1125,11,0,0,strict,0,0,1,0.45,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,3,1.0,1.0,1.0,12,150,1,0,14,40,1,0,0,flexible,0,0,1,0.03,100.0
hours,92.0,0,3.0,3.0,5,1,2,1.0,1.0,1.0,8,115,1,20,3,1125,92,0,0,strict,0,0,2,2.77,98.0
< 1 hour ,100.0,1,1.0,1.0,4,1,6,1.0,3.0,3.0,45,155,6,50,3,15,44,0,0,moderate,0,0,1,1.35,99.0
< 1 hour ,93.48038995125609,0,0.0,0.0,3,1,2,1.0,1.0,1.0,13,129,1,20,7,21,1,0,0,strict,0,0,1,0.05,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,11,80,1,0,1,1125,8,0,0,moderate,0,0,1,0.25,98.0
1 day,100.0,0,2.0,2.0,6,1,2,1.0,1.0,1.0,15,60,1,29,5,1125,5,1,0,strict,0,0,2,0.16,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.5,1.0,1.0,18,200,1,0,1,1125,1,0,0,moderate,0,0,1,0.03,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.5,1.0,1.0,15,70,1,0,1,1125,6,0,0,moderate,0,0,1,0.19,100.0
1 day,89.0,1,2.0,2.0,5,1,4,1.0,1.0,2.0,22,200,2,20,3,10,35,0,1,strict,0,0,2,1.06,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,3,1.0,0.0,1.0,18,199,1,0,2,1125,14,0,0,flexible,0,0,1,0.44,98.0
< 1 hour ,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,21,85,2,25,2,29,1,1,0,moderate,0,0,2,0.07,100.0
< 1 hour ,100.0,1,4.0,4.0,8,1,2,1.0,1.0,1.0,19,49,1,0,2,21,71,0,0,flexible,0,0,2,2.31,100.0
< 1 hour ,100.0,0,2.0,2.0,4,1,3,1.0,2.0,3.0,25,105,1,40,7,7,28,1,0,strict,0,0,2,0.88,89.0
< 1 hour ,100.0,0,3.0,3.0,5,1,1,1.5,1.0,1.0,20,26,1,0,1,10,57,1,0,strict,0,0,3,1.75,85.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,5,2.0,2.0,3.0,23,256,1,0,4,60,11,0,0,strict,0,0,1,0.34,92.0
hours,100.0,1,1.0,1.0,4,1,5,2.0,2.0,2.0,21,499,1,0,3,1125,26,0,1,strict,0,0,1,0.8,98.0
< 1 hour ,100.0,0,1.0,1.0,6,1,1,1.0,1.0,1.0,15,90,1,0,1,1125,8,0,0,strict,0,0,1,0.25,93.0
< 1 hour ,100.0,1,1.0,1.0,4,1,4,1.0,2.0,2.0,27,80,1,20,4,1125,97,1,0,strict,0,0,1,2.94,96.0
1 day,50.0,0,1.0,1.0,6,1,4,1.0,1.0,1.0,24,180,3,80,3,1125,35,0,0,moderate,0,0,1,1.07,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,7,1,2,1.0,1.0,1.0,15,145,1,0,6,21,2,0,0,strict,0,0,1,0.06,90.0
< 1 hour ,93.48038995125609,0,2.0,2.0,2,1,2,1.0,1.0,1.0,14,100,1,0,1,1125,1,0,0,flexible,0,0,2,0.03,80.0
1 day,100.0,0,1.0,1.0,10,1,2,1.0,1.0,1.0,7,199,1,0,6,1125,1,0,0,flexible,0,0,1,0.04,100.0
1 day,76.0,0,2.0,2.0,4,1,6,1.0,2.0,3.0,29,150,2,20,2,1125,131,0,0,strict,0,0,1,4.19,94.0
1 day,56.0,0,3.0,3.0,3,1,2,1.0,1.0,1.0,22,78,2,25,2,25,66,1,0,strict,0,0,3,2.14,85.0
< 1 hour ,93.48038995125609,0,2.0,2.0,4,1,1,1.0,1.0,1.0,11,678,1,15,1,1125,1,1,0,strict,0,0,2,0.03,100.0
hours,100.0,0,1.0,1.0,4,1,1,1.0,1.0,1.0,11,30,1,0,5,20,4,0,0,strict,0,0,1,0.12,100.0
1 day,80.0,0,1.0,1.0,8,1,2,1.0,1.0,1.0,16,134,2,150,3,1125,42,0,0,strict,0,0,1,1.59,95.0
< 1 hour ,71.0,0,1.0,1.0,4,1,4,1.0,1.0,1.0,17,178,2,0,3,1125,61,0,0,strict,0,0,1,1.83,94.0
hours,88.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,11,200,1,0,1,1125,15,0,0,strict,0,0,1,0.49,97.0
< 1 hour ,100.0,0,2.0,2.0,3,1,1,1.0,1.0,1.0,14,74,1,0,10,28,15,0,0,strict,0,0,2,0.46,91.0
< 1 hour ,100.0,1,2.0,2.0,3,1,14,4.0,5.0,8.0,36,1126,10,125,2,90,29,0,0,strict,0,0,2,0.89,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,1,1.0,1.0,1.0,13,40,1,0,1,1125,1,0,0,flexible,0,0,1,0.03,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,1,1.0,1.0,1.0,16,70,1,20,1,1125,7,0,0,strict,0,0,1,0.23,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,2,1,1,1.0,1.0,1.0,11,150,1,0,1,1125,1,0,0,flexible,0,0,1,0.03,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,1.0,2.0,11,190,3,0,4,30,3,0,0,strict,0,0,1,0.1,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,11,75,1,25,7,1125,1,0,0,moderate,0,0,1,0.06,100.0
< 1 hour ,93.48038995125609,1,1.0,1.0,5,1,2,1.0,1.0,1.0,28,79,1,0,1,7,38,0,0,flexible,0,0,1,1.16,99.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,1.0,1.0,20,124,2,50,3,1125,6,0,0,flexible,0,0,1,0.23,90.0
< 1 hour ,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,19,89,2,100,2,25,4,1,0,moderate,0,0,1,0.26,85.0
hours,100.0,1,1.0,1.0,4,1,1,1.0,1.0,1.0,20,90,1,25,4,1125,55,0,0,moderate,0,0,1,1.66,99.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,7,2.0,2.0,3.0,17,195,1,20,3,6,1,0,0,strict,0,0,1,0.03,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,12,60,1,0,1,1125,5,0,0,strict,0,0,1,0.15,96.0
< 1 hour ,100.0,1,1.0,1.0,5,1,2,1.0,1.0,1.0,19,125,1,20,2,1125,104,0,0,moderate,0,0,1,3.15,98.0
< 1 hour ,93.48038995125609,0,2.312898413128984,2.312898413128984,1,1,2,1.0,1.0,1.0,20,79,1,25,2,1125,6,0,0,strict,0,0,1,0.18,97.0
1 day,90.0,0,1.0,1.0,6,1,2,1.0,1.0,1.0,13,56,2,15,2,7,21,0,0,strict,0,0,1,0.99,99.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,2.0,1.0,1.0,20,225,2,50,2,1125,6,0,0,strict,0,0,1,0.18,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,2.0,13,70,1,0,4,1125,27,0,0,moderate,0,0,1,0.86,99.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,1,1.0,1.0,1.0,3,40,1,0,1,1125,1,0,0,flexible,0,0,1,0.03,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,21,119,1,25,4,10,6,0,0,moderate,0,0,1,0.18,97.0
< 1 hour ,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,9,70,1,20,2,1125,8,1,0,flexible,0,0,1,0.25,88.0
1 day,100.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,8,75,1,20,1,1125,8,0,0,flexible,0,0,1,0.27,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.5,1.0,1.0,20,150,1,0,3,1125,3,0,0,strict,0,0,1,0.09,93.0
< 1 hour ,100.0,1,8.0,8.0,3,1,3,1.0,1.0,2.0,13,39,1,15,5,1125,25,0,0,strict,0,0,6,0.78,97.0
< 1 hour ,95.0,1,7.0,7.0,5,1,2,1.0,1.0,1.0,20,54,1,7,1,1125,16,0,0,strict,0,0,7,0.48,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,7,2.5,4.0,6.0,20,600,1,0,3,1125,2,0,0,strict,0,0,1,0.06,100.0
< 1 hour ,100.0,0,3.0,3.0,4,1,1,1.0,1.0,1.0,12,48,1,0,2,1125,45,0,0,moderate,0,0,3,1.35,97.0
< 1 hour ,100.0,1,3.0,3.0,4,1,2,1.0,1.0,1.0,21,105,1,5,3,1125,7,0,1,strict,0,0,3,0.21,100.0
hours,100.0,0,2.0,2.0,3,1,1,1.0,1.0,1.0,13,57,1,0,15,1125,3,0,0,strict,1,1,2,0.1,93.0
hours,100.0,0,1.0,1.0,4,1,1,1.0,1.0,1.0,21,45,1,0,5,180,15,0,0,strict,0,0,1,0.46,99.0
1 day,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,25,150,1,0,7,65,1,0,0,strict,0,0,1,0.14,80.0
< 1 hour ,100.0,0,3.0,3.0,4,1,4,1.0,1.0,2.0,23,85,2,10,1,14,15,0,0,flexible,0,0,3,0.79,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,6,1.0,2.0,2.0,18,100,3,20,4,7,1,0,0,flexible,0,0,1,0.03,100.0
< 1 hour ,100.0,0,3.0,3.0,4,1,3,1.0,1.0,1.0,8,49,1,15,1,1125,162,0,0,strict,0,0,3,4.87,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,4,1.0,2.0,2.0,9,150,1,0,5,1125,2,0,0,flexible,0,0,1,0.06,60.0
< 1 hour ,100.0,1,3.0,3.0,5,1,2,1.0,1.0,1.0,21,50,1,0,2,92,28,1,0,flexible,0,0,3,0.84,85.0
hours,100.0,1,2.0,2.0,4,1,6,1.0,3.0,3.0,31,375,4,50,3,30,89,1,0,strict,0,0,2,2.79,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,11,55,2,0,7,65,4,0,0,strict,0,0,1,0.15,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,1.0,10,195,1,0,1,1125,1,0,0,strict,0,0,1,0.03,80.0
1 day,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,6,44,1,30,3,20,5,0,0,strict,0,0,2,0.15,92.0
1 day,100.0,0,1.0,1.0,4,1,6,1.5,3.0,3.0,35,295,6,0,30,120,5,0,0,strict,0,0,1,0.16,100.0
hours,100.0,1,1.0,1.0,4,1,4,1.0,0.0,2.0,21,180,2,30,3,1125,80,0,1,strict,0,0,1,2.47,95.0
< 1 hour ,95.0,1,7.0,7.0,5,1,2,1.0,1.0,1.0,17,50,1,8,6,222,31,0,0,strict,0,0,7,0.93,97.0
< 1 hour ,100.0,1,1.0,1.0,4,1,4,1.0,1.0,2.0,37,140,4,25,1,1125,152,0,1,strict,0,0,1,4.68,97.0
days,33.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,14,110,1,30,4,1125,12,0,0,strict,0,0,1,0.39,92.0
1 day,100.0,0,2.0,2.0,3,1,1,1.0,1.0,1.0,11,54,1,0,2,1125,38,0,0,strict,0,0,1,1.19,97.0
days,0.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,14,69,1,10,2,31,14,0,0,flexible,0,0,1,0.42,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,11,130,1,0,1,1125,6,0,0,flexible,0,0,1,0.2,90.0
< 1 hour ,93.48038995125609,0,2.0,2.0,3,1,1,1.0,1.0,1.0,8,50,1,25,2,1125,16,0,0,flexible,0,0,2,0.73,96.0
< 1 hour ,100.0,0,1.0,1.0,4,1,6,2.0,3.0,4.0,12,275,2,30,3,1125,1,0,0,strict,0,0,1,0.03,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,5,1.0,1.0,3.0,21,175,3,25,4,30,2,0,0,moderate,0,0,1,0.06,100.0
< 1 hour ,100.0,0,2.0,2.0,3,1,4,1.0,1.0,2.0,48,100,2,30,2,1125,111,1,0,strict,0,0,2,3.36,94.0
< 1 hour ,99.0,0,11.0,11.0,4,1,2,1.0,1.0,1.0,12,155,2,0,1,1125,107,0,0,strict,0,0,11,3.24,91.0
< 1 hour ,99.0,0,11.0,11.0,4,1,4,1.0,1.0,2.0,17,210,3,25,1,1125,114,0,0,strict,0,0,11,3.45,94.0
< 1 hour ,93.48038995125609,0,2.0,2.0,5,1,2,1.0,1.0,1.0,9,59,1,15,1,1125,1,0,0,flexible,0,0,2,0.03,100.0
< 1 hour ,100.0,0,12.0,12.0,4,1,12,1.0,2.0,2.0,23,99,2,23,10,1125,12,0,0,strict,0,0,2,0.45,88.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,2.0,2.0,2.0,17,140,4,0,2,7,8,0,0,moderate,0,0,1,0.25,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,3,1.0,1.0,2.0,7,99,1,0,3,8,4,0,0,strict,0,0,1,0.13,87.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.0,1.0,1.0,5,50,1,0,1,1125,1,0,0,flexible,0,0,1,0.03,80.0
1 day,80.0,0,1.0,1.0,6,1,2,1.0,1.0,1.0,17,125,1,10,4,14,8,0,0,moderate,0,0,1,0.87,100.0
< 1 hour ,99.0,0,11.0,11.0,4,1,2,1.0,1.0,1.0,18,155,2,0,1,1125,109,0,0,strict,0,0,11,3.34,91.0
< 1 hour ,90.0,0,4.0,4.0,7,1,3,1.0,1.0,1.0,19,75,1,25,1,1125,80,1,0,strict,0,0,4,3.03,92.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.0,1.0,1.0,13,70,1,0,1,1125,2,0,0,flexible,0,0,1,0.06,90.0
< 1 hour ,100.0,1,1.0,1.0,10,1,2,1.5,1.0,1.0,19,98,2,40,1,60,163,0,0,strict,0,0,1,4.98,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,12,200,1,0,1,1125,34,0,0,moderate,0,0,1,1.08,96.0
< 1 hour ,100.0,0,1.0,1.0,5,1,4,1.0,2.0,2.0,9,102,1,0,20,1125,6,1,0,moderate,0,0,1,0.24,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,14,85,1,0,2,1125,20,0,0,strict,0,0,1,0.62,95.0
< 1 hour ,93.48038995125609,0,2.0,2.0,4,1,1,1.0,1.0,1.0,10,35,1,0,10,15,1,0,0,strict,0,0,2,0.03,100.0
< 1 hour ,60.0,0,2.0,2.0,6,1,2,1.0,1.0,1.0,9,120,1,0,2,1125,1,1,0,flexible,0,0,2,0.04,100.0
< 1 hour ,99.0,0,11.0,11.0,4,1,5,1.0,1.0,2.0,17,255,3,25,1,1125,105,0,0,strict,0,0,11,3.2,91.0
< 1 hour ,99.0,0,11.0,11.0,4,1,4,1.0,1.0,2.0,12,245,3,25,1,1125,94,0,0,strict,0,0,11,2.87,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,3,1.0,2.0,2.0,22,10,4,50,2,4,6,0,0,strict,0,0,1,0.19,87.0
< 1 hour ,99.0,0,11.0,11.0,4,1,2,1.0,1.0,1.0,15,155,2,0,1,1125,121,0,0,strict,0,0,11,3.7,93.0
< 1 hour ,99.0,0,11.0,11.0,4,1,2,1.0,1.0,1.0,16,155,2,0,1,1125,107,0,0,strict,0,0,11,3.26,95.0
1 day,75.0,0,10.0,10.0,6,1,2,1.0,1.0,2.0,26,55,1,49,1,1125,12,0,0,strict,0,0,3,0.36,80.0
< 1 hour ,99.0,0,11.0,11.0,4,1,2,1.0,1.0,1.0,16,155,2,0,1,1125,122,0,0,strict,0,0,11,3.72,94.0
< 1 hour ,99.0,0,11.0,11.0,4,1,2,1.0,1.0,1.0,12,165,2,25,1,1125,90,0,0,strict,0,0,11,2.81,93.0
1 day,75.0,0,10.0,10.0,6,1,3,1.0,1.0,1.0,23,49,1,49,1,90,3,0,0,strict,0,0,3,0.1,87.0
< 1 hour ,99.0,0,11.0,11.0,4,1,2,1.0,1.0,1.0,15,155,2,0,1,1125,113,0,0,strict,0,0,11,3.47,96.0
< 1 hour ,93.48038995125609,0,5.0,5.0,11,1,6,2.0,4.0,4.0,17,389,1,0,3,1125,18,0,0,strict,0,0,3,0.55,90.0
< 1 hour ,100.0,1,5.0,5.0,5,1,2,1.0,1.0,1.0,15,65,2,50,2,1125,62,1,0,strict,0,0,5,1.87,97.0
1 day,100.0,1,2.0,2.0,4,1,2,2.0,1.0,1.0,25,127,3,25,3,1125,54,1,0,moderate,0,0,1,1.65,96.0
< 1 hour ,93.48038995125609,0,5.0,5.0,11,1,2,2.0,1.0,1.0,9,89,1,0,8,1125,6,0,0,strict,0,0,3,0.19,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,6,2.0,3.0,5.0,23,250,1,0,5,1125,3,0,0,flexible,0,0,1,0.1,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,1.0,2.0,12,100,1,0,1,1125,1,0,0,flexible,0,0,1,0.03,80.0
1 day,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,8,154,1,0,3,7,1,0,0,strict,0,0,2,0.03,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,22,215,1,0,1,1125,2,0,0,flexible,0,0,1,0.06,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,1.0,14,130,2,0,7,1125,1,0,0,strict,0,0,1,0.03,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,0.0,1.0,6,100,1,0,6,9,4,0,0,flexible,0,0,1,0.12,90.0
< 1 hour ,95.0,1,7.0,7.0,5,1,2,1.0,1.0,1.0,14,50,1,7,2,22,29,0,0,strict,0,0,7,0.9,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,2,1.0,1.0,1.0,13,95,2,300,5,1125,4,0,0,strict,0,0,1,0.15,100.0
< 1 hour ,93.48038995125609,1,2.0,2.0,4,1,4,1.0,1.0,2.0,16,150,2,10,3,15,19,0,0,moderate,0,0,2,0.59,99.0
< 1 hour ,100.0,1,3.0,3.0,4,1,1,1.0,1.0,1.0,14,24,1,0,6,1125,4,0,0,strict,0,0,3,0.12,95.0
< 1 hour ,100.0,0,8.0,8.0,4,1,4,1.0,1.0,3.0,33,65,1,15,3,1125,76,0,0,strict,0,0,8,2.31,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.5,1.0,1.0,9,40,1,0,5,31,4,1,0,flexible,0,0,1,0.12,93.0
< 1 hour ,95.0,1,7.0,7.0,5,1,2,1.0,1.0,1.0,12,57,1,5,4,1125,16,0,0,strict,0,0,7,0.6,98.0
< 1 hour ,100.0,1,4.0,4.0,4,1,4,1.0,1.0,3.0,18,135,2,15,1,1125,157,0,1,strict,0,0,2,4.77,95.0
< 1 hour ,100.0,1,3.0,3.0,4,1,2,1.0,1.0,1.0,23,400,2,0,3,1125,81,0,1,strict,0,0,2,2.45,98.0
< 1 hour ,100.0,0,1.0,1.0,4,1,2,1.0,0.0,1.0,21,100,1,0,2,1125,25,0,0,moderate,0,0,1,0.79,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,4,1.0,1.0,2.0,14,115,1,0,1,30,11,0,0,moderate,0,0,1,0.34,89.0
1 day,50.0,0,2.0,2.0,4,1,3,1.0,1.0,1.0,28,48,1,30,3,21,26,0,0,strict,0,0,2,0.82,95.0
1 day,100.0,0,1.0,1.0,5,1,3,1.0,0.0,1.0,5,110,1,0,2,1125,9,0,0,flexible,0,0,1,0.27,98.0
hours,100.0,0,1.0,1.0,8,1,4,1.0,1.0,2.0,22,225,1,0,2,1125,16,0,0,moderate,0,0,1,0.49,99.0
hours,100.0,0,4.0,4.0,6,1,8,1.0,3.0,4.0,31,149,1,0,1,1125,101,0,0,strict,0,0,4,3.09,86.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,1.0,2.0,12,125,2,30,1,1125,1,0,0,moderate,0,0,1,0.03,100.0
< 1 hour ,93.48038995125609,1,1.0,1.0,4,1,2,2.0,1.0,1.0,21,95,1,15,3,1125,31,0,0,strict,0,0,1,0.95,97.0
< 1 hour ,100.0,0,8.0,8.0,3,1,5,2.5,1.0,3.0,19,100,1,10,1,1125,53,1,0,strict,0,0,8,1.72,81.0
< 1 hour ,100.0,0,8.0,8.0,3,1,2,2.0,1.0,1.0,21,65,1,7,1,1125,95,1,0,strict,0,0,8,3.13,84.0
< 1 hour ,100.0,0,8.0,8.0,3,1,2,2.0,1.0,1.0,21,73,1,7,1,1125,102,1,0,strict,0,0,8,3.34,86.0
< 1 hour ,100.0,0,8.0,8.0,3,1,4,3.0,1.0,2.0,20,118,2,15,1,1125,89,1,0,strict,0,0,8,2.94,85.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,11,64,1,15,5,20,32,0,0,strict,0,0,1,0.97,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,3,1.0,0.0,2.0,17,90,2,0,4,40,13,0,0,moderate,0,0,1,0.41,85.0
< 1 hour ,95.0,1,7.0,7.0,5,1,2,1.0,1.0,1.0,13,53,1,7,30,1125,17,0,0,strict,0,0,7,0.51,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.0,1.0,1.0,13,69,1,0,1,1125,1,0,0,flexible,0,0,1,0.03,80.0
1 day,67.0,0,1.0,1.0,3,1,4,1.0,1.0,2.0,28,132,1,50,2,29,6,1,0,moderate,0,0,1,0.2,20.0
< 1 hour ,100.0,1,4.0,4.0,5,1,10,2.0,3.0,7.0,21,177,6,20,3,28,91,0,1,strict,0,0,2,2.9,95.0
< 1 hour ,93.48038995125609,0,2.0,2.0,4,1,2,1.0,1.0,1.0,7,69,1,0,14,1125,1,0,0,strict,0,0,2,0.03,100.0
< 1 hour ,100.0,0,1.0,1.0,3,1,1,0.5,1.0,1.0,15,99,1,0,1,1125,11,0,0,moderate,0,0,1,0.41,84.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,1.0,8,135,1,10,3,1125,4,0,0,moderate,0,0,1,0.13,95.0
< 1 hour ,100.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,13,150,2,15,4,1125,5,0,0,moderate,0,0,1,0.15,100.0
1 day,90.0,0,1.0,1.0,4,1,2,2.0,1.0,1.0,16,2000,1,0,1,1125,13,0,0,moderate,0,0,1,0.43,100.0
< 1 hour ,93.48038995125609,0,2.0,2.0,4,1,2,1.0,1.0,1.0,7,59,2,15,5,8,2,0,0,flexible,0,0,2,0.06,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,13,215,1,0,14,1125,1,0,0,strict,0,0,1,0.03,100.0
< 1 hour ,100.0,0,2.0,2.0,5,1,7,1.0,3.0,4.0,26,200,6,25,2,1125,10,0,0,strict,0,0,1,0.3,94.0
days,11.0,0,1.0,1.0,5,1,1,1.0,0.0,1.0,8,200,1,50,2,1125,8,0,0,moderate,0,0,1,0.27,98.0
